mass_A
t	y	v	v_{x}	v_{y}	a_{y}	a_{x}	a
1.833333333E-1	8.777244487E-1	1.014471688E1	-9.575175804E0	3.351311532E0	-4.103646773E1	-1.641458709E1	4.419762837E1
7.000000000E-1	8.777244487E-1	1.153003851E1	-1.149021097E1	-9.575175804E-1	-1.641458709E1	-9.501044018E-13	1.641458709E1
7.166666667E-1	8.777244487E-1	1.220600207E1	-1.196896976E1	-2.393793951E0	-8.207293547E0	2.462188064E1	2.595374103E1
2.166666667E-1	9.096417014E-1	7.675087274E0	-7.660140643E0	4.787587902E-1	2.462188064E1	1.641458709E1	2.959181771E1
6.833333333E-1	9.096417014E-1	1.314626655E1	-1.292648734E1	-2.393793951E0	8.207293547E0	-7.386564192E1	7.432020401E1
2.000000000E-1	9.256003278E-1	8.670690467E0	-8.617658224E0	9.575175804E-1	-6.565834837E1	3.282917419E1	7.340826513E1
2.333333333E-1	9.415589541E-1	8.943952300E0	-8.617658224E0	2.393793951E0	4.103646773E1	-1.641458709E1	4.419762837E1
6.500000000E-1	9.575175804E-1	8.264658118E0	-8.138899434E0	-1.436276371E0	8.207293547E0	2.462188064E1	2.595374103E1
6.666666667E-1	9.575175804E-1	9.209109203E0	-9.096417014E0	-1.436276371E0	-8.207293547E0	-1.066948161E2	1.070100157E2
2.500000000E-1	9.894348331E-1	8.361162817E0	-8.138899434E0	1.915035161E0	-3.282917419E1	2.462188064E1	4.103646773E1
2.666666667E-1	1.005393459E0	7.719753532E0	-7.660140643E0	9.575175804E-1	-3.282917419E1	1.641458709E1	3.670413256E1
6.333333333E-1	1.005393459E0	1.126864360E1	-1.101145217E1	-2.393793951E0	-8.207293547E0	5.745105483E1	5.803432922E1
2.833333333E-1	1.021352086E0	7.719753532E0	-7.660140643E0	9.575175804E-1	-0.000000000E0	-1.641458709E1	1.641458709E1
3.000000000E-1	1.037310712E0	8.195030440E0	-8.138899434E0	9.575175804E-1	-0.000000000E0	-2.462188064E1	2.462188064E1
6.000000000E-1	1.037310712E0	8.670690467E0	-8.617658224E0	-9.575175804E-1	-1.641458709E1	-4.924376128E1	5.190748207E1
6.166666667E-1	1.037310712E0	1.009942774E1	-1.005393459E1	-9.575175804E-1	-3.282917419E1	-5.745105483E1	6.616931599E1
3.166666667E-1	1.053269338E0	8.670690467E0	-8.617658224E0	9.575175804E-1	-3.282917419E1	-4.924376128E1	5.918363543E1
3.500000000E-1	1.053269338E0	9.587137303E0	-9.575175804E0	-4.787587902E-1	7.386564192E1	-1.641458709E1	7.566750773E1
3.666666667E-1	1.053269338E0	9.869865306E0	-9.575175804E0	2.393793951E0	5.745105483E1	4.924376128E1	7.566750773E1
3.333333333E-1	1.069227965E0	9.575175804E0	-9.575175804E0	-0.000000000E0	-3.282917419E1	-1.641458709E1	3.670413256E1
5.500000000E-1	1.069227965E0	1.006532716E1	-1.005393459E1	-4.787587902E-1	2.462188064E1	-2.462188064E1	3.482059753E1
5.666666667E-1	1.069227965E0	9.575175804E0	-9.575175804E0	-0.000000000E0	-1.641458709E1	3.282917419E1	3.670413256E1
5.833333333E-1	1.069227965E0	8.670690467E0	-8.617658224E0	-9.575175804E-1	-1.641458709E1	3.282917419E1	3.670413256E1
5.333333333E-1	1.085186591E0	8.670690467E0	-8.617658224E0	-9.575175804E-1	1.641458709E1	-3.282917419E1	3.670413256E1
4.833333333E-1	1.101145217E0	8.630946834E0	-8.617658224E0	-4.787587902E-1	-8.207293547E0	-1.641458709E1	1.835206628E1
5.166666667E-1	1.101145217E0	8.670690467E0	-8.617658224E0	-9.575175804E-1	-3.282917419E1	-1.900208804E-12	3.282917419E1
4.333333333E-1	1.117103844E0	1.054356865E1	-1.053269338E1	-4.787587902E-1	2.462188064E1	-3.282917419E1	4.103646773E1
4.500000000E-1	1.117103844E0	9.587137303E0	-9.575175804E0	4.787587902E-1	-8.207293547E0	4.924376128E1	4.992301766E1
5.000000000E-1	1.117103844E0	9.096417014E0	-9.096417014E0	-0.000000000E0	-0.000000000E0	8.207293547E0	8.207293547E0
3.833333333E-1	1.133062470E0	8.943952300E0	-8.617658224E0	2.393793951E0	-4.103646773E1	6.565834837E1	7.742745246E1
4.000000000E-1	1.133062470E0	6.702623063E0	-6.702623063E0	-0.000000000E0	-9.848752256E1	0.000000000E0	9.848752256E1
4.166666667E-1	1.133062470E0	8.630946834E0	-8.617658224E0	-4.787587902E-1	-8.207293547E0	-9.848752256E1	9.882890148E1
